id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,position pressure,77,10,39,20,202,ship,baseline,monotonic-signal,raise-signal
m002,g002,move ordering,56,3,24,72,275,ship,edge,drag-penalty,drop-slack
m003,g003,search width,97,18,46,86,394,ship,recovery,confidence-floor,raise-drag
m004,g004,endgame risk,77,58,27,15,288,ship,negative,lane-boundary,lower-confidence
m005,g005,position pressure,80,45,23,89,451,ship,baseline,monotonic-signal,raise-signal
m006,g006,move ordering,115,65,43,81,515,ship,edge,drag-penalty,drop-slack
m007,g007,search width,53,59,41,39,185,ship,recovery,confidence-floor,raise-drag
m008,g008,endgame risk,69,18,10,52,358,ship,negative,lane-boundary,lower-confidence
m009,g009,position pressure,46,35,41,83,221,ship,baseline,monotonic-signal,raise-signal
m010,g010,move ordering,68,0,16,53,314,ship,edge,drag-penalty,drop-slack
m011,g011,search width,43,37,12,43,247,ship,recovery,confidence-floor,raise-drag
m012,g012,endgame risk,34,17,43,29,39,hold,negative,lane-boundary,lower-confidence
m013,g013,position pressure,86,10,14,89,476,ship,baseline,monotonic-signal,raise-signal
m014,g014,move ordering,102,33,30,74,469,ship,edge,drag-penalty,drop-slack
m015,g015,search width,74,63,46,71,317,ship,recovery,confidence-floor,raise-drag
m016,g016,endgame risk,64,40,45,61,238,ship,negative,lane-boundary,lower-confidence
m017,g017,position pressure,115,31,29,80,535,ship,baseline,monotonic-signal,raise-signal
m018,g018,move ordering,43,18,43,88,194,ship,edge,drag-penalty,drop-slack
m019,g019,search width,59,66,38,96,342,ship,recovery,confidence-floor,raise-drag
m020,g020,endgame risk,114,17,5,92,637,ship,negative,lane-boundary,lower-confidence
m021,g021,position pressure,110,30,15,71,552,ship,baseline,monotonic-signal,raise-signal
m022,g022,move ordering,98,63,42,85,457,ship,edge,drag-penalty,drop-slack
m023,g023,search width,56,63,22,27,253,ship,recovery,confidence-floor,raise-drag
m024,g024,endgame risk,39,25,24,75,235,ship,negative,lane-boundary,lower-confidence
m025,g025,position pressure,43,74,9,80,370,ship,baseline,monotonic-signal,raise-signal
m026,g026,move ordering,35,25,24,38,145,watch,edge,drag-penalty,drop-slack
m027,g027,search width,39,19,19,64,227,ship,recovery,confidence-floor,raise-drag
m028,g028,endgame risk,44,13,8,69,295,ship,negative,lane-boundary,lower-confidence
m029,g029,position pressure,103,13,28,52,417,ship,baseline,monotonic-signal,raise-signal
m030,g030,move ordering,79,4,19,42,328,ship,edge,drag-penalty,drop-slack
m031,g031,search width,31,19,44,41,49,hold,recovery,confidence-floor,raise-drag
m032,g032,endgame risk,109,23,26,75,505,ship,negative,lane-boundary,lower-confidence
m033,g033,position pressure,106,63,43,73,461,ship,baseline,monotonic-signal,raise-signal
m034,g034,move ordering,50,39,32,70,251,ship,edge,drag-penalty,drop-slack
m035,g035,search width,30,11,35,73,137,watch,recovery,confidence-floor,raise-drag
m036,g036,endgame risk,112,64,41,66,480,ship,negative,lane-boundary,lower-confidence
m037,g037,position pressure,77,23,15,87,445,ship,baseline,monotonic-signal,raise-signal
m038,g038,move ordering,94,29,24,95,499,ship,edge,drag-penalty,drop-slack
m039,g039,search width,110,16,37,104,516,ship,recovery,confidence-floor,raise-drag
m040,g040,endgame risk,78,42,14,57,412,ship,negative,lane-boundary,lower-confidence
m041,g041,position pressure,118,22,28,84,550,ship,baseline,monotonic-signal,raise-signal
m042,g042,move ordering,84,4,16,26,328,ship,edge,drag-penalty,drop-slack
m043,g043,search width,75,49,39,87,367,ship,recovery,confidence-floor,raise-drag
m044,g044,endgame risk,30,68,42,66,152,watch,negative,lane-boundary,lower-confidence
m045,g045,position pressure,64,45,27,37,267,ship,baseline,monotonic-signal,raise-signal
m046,g046,move ordering,115,25,42,63,443,ship,edge,drag-penalty,drop-slack
m047,g047,search width,105,34,16,81,552,ship,recovery,confidence-floor,raise-drag
m048,g048,endgame risk,59,71,36,38,239,ship,negative,lane-boundary,lower-confidence
